route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_0,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_1,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_2,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_3,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_4,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_5,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_6,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_7,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_8,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_9,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_10,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_11,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_12,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-1111100,floriade_2025_test_0_13,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_0,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_1,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_2,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_3,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_4,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_5,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_6,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_7,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_8,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_9,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_10,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_11,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_12,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_13,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_14,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_15,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_16,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_17,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_18,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_19,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_20,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_21,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_22,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_23,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_24,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250913-20251012-0000011,floriade_2025_test_1_25,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_0,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_1,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_2,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_3,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_4,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_5,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_6,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_7,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_8,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_9,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_10,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_11,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_12,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_13,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_14,F1,1,floriade_2025_test_shape,0,0
floriade_2025_test,floriade_2025_test-20250929-20251002-1111111,floriade_2025_test_2_15,F1,1,floriade_2025_test_shape,0,0
